season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,POR,PHO,44,Jamaal Magloire,?,Martell Webster,Sergio Rodriguez,Travis Outlaw,Amar'e Stoudemire,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Jarrett Jack
2007,POR,PHO,46,Jamaal Magloire,?,Martell Webster,Sergio Rodriguez,Travis Outlaw,Boris Diaw,James Jones,Marcus Banks,Pat Burke,Raja Bell,Jarrett Jack
2007,PHO,HOU,0,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Rafer Alston,Shane Battier,Steve Novak,Tracy McGrady,Yao Ming,Boris Diaw
2007,PHO,HOU,7,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Chuck Hayes,Rafer Alston,Shane Battier,Steve Novak,Tracy McGrady,Kurt Thomas
2007,PHO,HOU,16,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Chuck Hayes,John Lucas III,Luther Head,Steve Novak,Tracy McGrady,Jalen Rose
2007,PHO,HOU,19,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Chuck Hayes,John Lucas III,Luther Head,Shane Battier,Tracy McGrady,Jalen Rose
2007,PHO,HOU,30,Kurt Thomas,?,Raja Bell,Shawn Marion,Steve Nash,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Leandro Barbosa
2007,PHO,HOU,36,Boris Diaw,?,Leandro Barbosa,Raja Bell,Shawn Marion,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Kurt Thomas
2007,PHO,HOU,40,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Chuck Hayes,Luther Head,Rafer Alston,Tracy McGrady,Yao Ming,Kurt Thomas
2007,PHO,HOU,43,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Kurt Thomas
2007,PHO,MIL,7,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Steve Nash,Andrew Bogut,Charlie Bell,Ersan Ilyasova,Michael Redd,Mo Williams,Kurt Thomas
2007,PHO,MIL,20,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,Jalen Rose
2007,PHO,MIL,21,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,Boris Diaw
